name,r,g,b,hex
"AliceBlue","240","248","255","#F0F8FF"
"AntiqueWhite","250","235","215","#FAEBD7"
"Aqua","0","255","255","#00FFFF"
"Aquamarine","127","255","212","#7FFFD4"
"Azure","240","255","255","#F0FFFF"
"Beige","245","245","220","#F5F5DC"
"Bisque","255","228","196","#FFE4C4"
"Black","0","0","0","#000000"
"BlanchedAlmond","255","235","205","#FFEBCD"
"Blue","0","0","255","#0000FF"
"BlueViolet","138","43","226","#8A2BE2"
"Brown","165","42","42","#A52A2A"
"BurlyWood","222","184","135","#DEB887"
"CadetBlue","95","158","160","#5F9EA0"
"Chartreuse","127","255","0","#7FFF00"
"Chocolate","210","105","30","#D2691E"
"Coral","255","127","80","#FF7F50"
"CornflowerBlue","100","149","237","#6495ED"
"Cornsilk","255","248","220","#FFF8DC"
"Crimson","220","20","60","#DC143C"
"Cyan","0","255","255","#00FFFF"
"DarkBlue","0","0","139","#00008B"
"DarkCyan","0","139","139","#008B8B"
"DarkGoldenRod","184","134","11","#B8860B"
"DarkGray","169","169","169","#A9A9A9"
"DarkGreen","0","100","0","#006400"
"DarkKhaki","189","183","107","#BDB76B"
"DarkMagenta","139","0","139","#8B008B"
"DarkOliveGreen","85","107","47","#556B2F"
"DarkOrange","255","140","0","#FF8C00"
"DarkOrchid","153","50","204","#9932CC"
"DarkRed","139","0","0","#8B0000"
"DarkSalmon","233","150","122","#E9967A"
"DarkSeaGreen","143","188","143","#8FBC8F"
"DarkSlateBlue","72","61","139","#483D8B"
"DarkSlateGray","47","79","79","#2F4F4F"
"DarkTurquoise","0","206","209","#00CED1"
"DarkViolet","148","0","211","#9400D3"
"DeepPink","255","20","147","#FF1493"
"DeepSkyBlue","0","191","255","#00BFFF"
"DimGray","105","105","105","#696969"
"DodgerBlue","30","144","255","#1E90FF"
"FireBrick","178","34","34","#B22222"
"FloralWhite","255","250","240","#FFFAF0"
"ForestGreen","34","139","34","#228B22"
"Fuchsia","255","0","255","#FF00FF"
"Gainsboro","220","220","220","#DCDCDC"
"GhostWhite","248","248","255","#F8F8FF"
"Gold","255","215","0","#FFD700"
"GoldenRod","218","165","32","#DAA520"
"MediumSlateBlue","123","104","238","#7B68EE"
"CadetBlue","95","158","160","#5F9EA0"
"RosyBrown","188","143","143","#BC8F8F"
"LightCoral","240","128","128","#F08080"
"IndianRed","205","92","92","#CD5C5C"
"Crimson","220","20","60","#DC143C"
"FireBrick","178","34","34","#B22222"
"DarkRed","139","0","0","#8B0000"
"Maroon","128","0","0","#800000"
"Brown","165","42","42","#A52A2A"
"SaddleBrown","139","69","19","#8B4513"
"Sienna","160","82","45","#A0522D"
"Chocolate","210","105","30","#D2691E"
